,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Coober Pedy,2020,404858.0,,,,,,,,1.0,,,,,,,
Coogee,2020,6.86,3.92,3.92,,,0.0,0.0,3.92,1.0,1.0,1.0,,,0.0,1.0,1.0
Cooloola,2020,1203.41,,,,,,,,1.0,,,,,,,
Coolum Beach,2020,0.58,,2.31,,,4.0,0.58,2.31,1.0,,1.0,,,0.0,1.0,1.0
Cooma,2020,34356.61,,368.18,,368.18,1.92,64.43,123.83,20.0,,2.0,,2.0,0.0,2.0,2.0
Cooma Surrounds,2020,238642.21,15.02,3275.25,5.8,3254.43,4.07,777.65,3165.25,180.0,2.0,11.0,1.0,9.0,0.0,11.0,11.0
Coomera,2020,4.63,,,,,,,,1.0,,,,,,,
Coonabarabran,2020,530392.81,95.91,598.52,4.12,222.54,2.9,208.08,604.01,378.0,2.0,5.0,2.0,1.0,0.0,5.0,5.0
Coonamble,2020,927376.63,500.0,10625.44,2738.1,4000.0,6.65,1101.94,7328.5,254.0,1.0,6.0,2.0,1.0,0.0,6.0,6.0
Cootamundra,2020,171073.59,,,,,,,,126.0,,,,,,,
Coramba - Nana Glen - Bucca,2020,4105.11,565.38,701.65,103.57,10.51,3.64,191.82,698.26,45.0,4.0,15.0,10.0,3.0,0.0,15.0,15.0
Corangamite - North,2020,211460.99,2772.24,4502.32,287.96,,3.18,1421.81,4525.16,357.0,8.0,12.0,4.0,,0.0,12.0,12.0
Corangamite - South,2020,142362.87,1854.92,3683.83,1217.28,,2.18,1624.89,3537.85,521.0,14.0,45.0,26.0,,0.0,45.0,45.0
Corio - Lovely Banks,2020,2059.57,107.77,262.31,7.45,,1.62,161.72,262.31,15.0,1.0,7.0,1.0,,0.0,7.0,7.0
Cornubia - Carbrook,2020,12573.45,5.78,27.73,21.96,,5.83,8.09,47.16,7.0,1.0,2.0,2.0,,0.0,2.0,2.0
Coromandel Valley,2020,20.0,120.0,120.0,,,8.0,15.0,120.0,1.0,1.0,1.0,,,0.0,1.0,1.0
Corowa,2020,5984.46,,,,,,,,14.0,,,,,,,
Corowa Surrounds,2020,514521.35,13124.73,24999.77,34.7,1244.72,2.28,10425.94,23797.03,258.0,21.0,43.0,2.0,7.0,0.0,43.0,43.0
Cowra,2020,27179.19,2574.06,5715.23,,3141.17,3.5,1638.32,5728.53,63.0,13.0,17.0,,12.0,0.0,17.0,17.0
Cowra Surrounds,2020,264581.1,8371.03,11962.85,134.44,3323.12,3.09,3811.83,11794.84,355.0,33.0,45.0,4.0,14.0,0.0,45.0,45.0
Craignish - Dundowran Beach,2020,274.27,,,,,,,,2.0,,,,,,,
Cranbourne East - North,2020,71.62,,,,,,,,1.0,,,,,,,
Cranbourne North - East,2020,200.0,,500.0,500.0,,3.13,160.0,500.0,1.0,,1.0,1.0,,0.0,1.0,1.0
Cranbourne South,2020,2406.12,39.94,1877.71,609.21,345.36,2.5,753.87,1885.88,48.0,5.0,27.0,19.0,3.0,0.0,27.0,27.0
Cranbourne West,2020,2.44,,,,,,,,1.0,,,,,,,
Cranebrook - Castlereagh,2020,44.58,,16.5,,15.26,1.0,16.5,16.5,6.0,,2.0,,1.0,0.0,2.0,2.0
Creswick - Clunes,2020,53299.16,2278.33,4134.26,1510.63,316.37,2.74,1400.92,3841.97,172.0,30.0,39.0,15.0,6.0,0.0,39.0,39.0
Crows Nest - Rosalie,2020,181796.65,1185.37,2366.13,1156.98,,1.75,1360.56,2381.76,385.0,33.0,39.0,14.0,,0.0,39.0,39.0
Croydon - Etheridge,2020,6011062.9,487.69,2423.85,,1140.58,4.49,445.85,2001.86,95.0,1.0,4.0,,3.0,0.0,4.0,4.0
Culburra Beach,2020,5593.89,,1152.74,,,1.59,728.11,1158.46,24.0,,9.0,,,0.0,9.0,9.0
Cunderdin,2020,575047.93,,,,,,,,201.0,,,,,,,
Currans Hill,2020,176.78,,,,,,,,1.0,,,,,,,
Currumbin - Tugun,2020,80.85,,,,,,,,1.0,,,,,,,
Currumbin Valley - Tallebudgera,2020,388.53,,12.56,2.27,10.28,5.2,2.42,12.56,9.0,,3.0,1.0,2.0,0.0,3.0,3.0
Cygnet,2020,3189.25,17.05,638.81,502.68,107.91,2.97,212.5,631.0,36.0,1.0,18.0,15.0,5.0,0.0,18.0,18.0
Daintree,2020,13009.63,12.97,82.55,6.11,63.46,4.12,23.67,97.45,75.0,3.0,8.0,1.0,3.0,0.0,8.0,8.0
Dalrymple,2020,6049380.36,1421.15,6940.49,812.22,4683.12,3.22,2150.85,6931.14,195.0,2.0,14.0,3.0,12.0,0.0,14.0,14.0
Daly,2020,1031382.55,5433.95,5433.95,,,3.16,1704.49,5393.95,14.0,8.0,8.0,,,0.0,8.0,8.0
Dandenong - South,2020,757.38,,64.05,23.23,12.08,4.14,16.74,69.29,10.0,,3.0,2.0,1.0,0.0,3.0,3.0
Dapto - Avondale,2020,663.4,,8.06,5.74,2.32,2.33,3.46,8.06,8.0,,2.0,2.0,1.0,0.0,2.0,2.0
Dardanup,2020,16057.6,121.72,5784.15,300.54,1.86,5.57,1022.88,5702.27,77.0,5.0,37.0,13.0,1.0,0.0,37.0,37.0
Darling Downs - Maranoa,2012,15100998.3,66409.4,1100674.4,599309.9,302363.2,5.8,180301.6,1100674.4,6717.0,4172.0,6092.0,3395.0,1296.0,0.0,958.0,6092.0
Darling Downs - Maranoa,2013,13115288.43,84596.01,1126097.29,583766.24,362908.78,6.42,168167.53,1079750.68,6482.0,3629.0,5777.0,3696.0,1106.0,0.0,1512.0,1512.0
Darling Downs - Maranoa,2014,13248348.43,75897.62,563792.15,274398.95,131533.17,3.93,130549.07,513260.99,6270.0,3680.0,5520.0,3365.0,1734.0,0.0,1308.0,1308.0
Darling Downs - Maranoa,2015,13826244.94,71088.4,486580.52,197855.61,147698.37,3.89,113586.53,441374.95,4410.0,2538.0,3944.0,2587.0,948.0,0.0,706.0,706.0
Darling Downs - Maranoa,2016,14022180.19,118601.6,945747.2,324665.32,421904.25,5.45,163907.77,893306.07,4656.0,2852.0,4157.0,2357.0,886.0,0.0,717.0,717.0
Darling Downs - Maranoa,2017,14173163.0,96783.27,756167.92,278915.74,303428.85,4.84,146727.41,710064.67,4670.0,2718.0,4193.0,2520.0,897.0,0.0,820.0,820.0
Darling Downs - Maranoa,2018,13592143.27,92192.65,315577.89,94213.5,95178.79,3.59,75558.5,271213.71,4825.0,2776.0,4271.0,2335.0,657.0,0.0,659.0,659.0
Darling Downs - Maranoa,2019,14812682.78,66386.74,209590.83,42183.88,78459.21,2.96,42958.23,127346.81,4772.0,1261.0,2057.0,1067.0,228.0,0.0,570.0,570.0
Darling Downs - Maranoa,2020,13226089.1,73405.26,573392.82,132961.33,296670.26,4.78,105025.57,501978.67,4504.0,362.0,646.0,279.0,177.0,0.0,642.0,642.0
Darling Downs-Maranoa,2011,13875914.0,57455.7,758313.9,374090.4,250744.2,4.2,170544.3,758313.9,7124.0,3805.0,6161.0,3856.0,1952.0,0.0,1269.0,6161.0
Darling Heights,2020,2.48,6.2,6.2,,,5.0,1.24,6.2,1.0,1.0,1.0,,,0.0,1.0,1.0
Darra - Sumner,2020,2002.0,,,,,,,,1.0,,,,,,,
Darwin,2011,111981.2,9921.0,10323.8,338.8,23.1,3.3,3058.5,10323.8,181.0,156.0,165.0,11.0,10.0,0.0,151.0,165.0
Darwin,2012,234993.8,5984.5,6180.4,43.9,150.9,3.2,1834.3,6180.4,173.0,144.0,147.0,11.0,11.0,0.0,123.0,147.0
Darwin,2013,118551.15,10933.64,11131.36,42.17,40.57,3.82,2828.83,10796.02,172.0,131.0,138.0,6.0,6.0,0.0,122.0,122.0
Darwin,2014,131178.62,11137.21,11699.24,215.66,59.6,3.66,3089.69,11300.24,160.0,128.0,135.0,6.0,5.0,0.0,121.0,121.0
Darwin,2015,109779.23,5825.63,6064.75,20.37,49.86,2.17,2654.27,5752.65,123.0,105.0,109.0,6.0,3.0,0.0,96.0,96.0
Darwin,2016,95846.5,6918.14,7266.75,110.11,8.55,0.0,0.0,0.0,112.0,100.0,104.0,9.0,4.0,0.0,92.0,92.0
Darwin,2017,113609.59,7181.56,7400.52,61.47,0.03,2.84,2369.64,6719.82,99.0,82.0,86.0,8.0,3.0,0.0,71.0,71.0
Darwin,2018,100354.81,8404.11,9240.85,708.22,,3.44,2462.06,8474.68,120.0,98.0,104.0,5.0,,0.0,93.0,93.0
Darwin,2019,105063.77,9838.89,10317.09,96.86,,4.13,2342.42,9670.73,122.0,103.0,107.0,5.0,,0.0,97.0,97.0
Darwin,2020,98313.72,9253.88,9519.77,200.0,,3.42,2735.76,9366.6,115.0,88.0,91.0,1.0,,0.0,91.0,91.0
Davoren Park,2020,3.26,,2.45,,,1.36,1.79,2.45,1.0,,1.0,,,0.0,1.0,1.0
Dayboro,2020,3017.81,,2.07,2.07,,4.96,2.4,11.9,21.0,,1.0,1.0,,0.0,1.0,1.0
Daylesford,2020,23230.13,752.49,1925.94,630.03,455.17,2.67,716.0,1910.19,114.0,15.0,39.0,30.0,7.0,0.0,39.0,39.0
Deception Bay,2020,2.31,,,,,,,,1.0,,,,,,,
Deeragun - Jensen,2020,0.34,,0.51,,,1.5,0.34,0.51,1.0,,1.0,,,0.0,1.0,1.0
Delacombe,2020,634.4,,,,,,,,5.0,,,,,,,
Deloraine,2020,61246.79,3871.1,23804.47,8168.66,6198.83,2.99,7474.51,22340.64,162.0,16.0,73.0,45.0,26.0,0.0,73.0,73.0
Denham Court - Bardia,2020,358.7,,,,,,,,2.0,,,,,,,
Deniliquin,2020,69560.91,5222.7,29368.66,540.16,2533.44,2.75,8224.55,22580.83,61.0,8.0,42.0,3.0,6.0,0.0,42.0,42.0
Deniliquin Surrounds,2020,1574185.47,23775.25,370167.6,2690.22,73827.32,3.27,107790.95,352333.28,603.0,54.0,425.0,17.0,126.0,0.0,425.0,425.0
Denmark,2020,27197.16,,62.7,50.95,11.75,2.27,28.21,63.99,98.0,,4.0,3.0,2.0,0.0,4.0,4.0
Derby - West Kimberley,2020,6633608.81,,800.0,,800.0,2.86,280.0,800.0,16.0,,1.0,,1.0,0.0,1.0,1.0
Derwent Valley,2020,19944.62,1.12,10387.78,202.92,10089.14,4.88,2104.5,10264.38,39.0,1.0,27.0,4.0,26.0,0.0,27.0,27.0
Deua - Wadbilliga,2020,272.25,,,,,,,,1.0,,,,,,,
Diddillibah - Rosemount,2020,127.93,,259.1,123.03,13.13,3.63,71.37,259.1,7.0,,5.0,3.0,1.0,0.0,5.0,5.0
Diggers Rest,2020,1249.09,,,,,,,,4.0,,,,,,,
Dilston - Lilydale,2020,18170.01,58.26,1799.67,1031.46,440.65,2.1,857.21,1799.67,67.0,1.0,15.0,12.0,2.0,0.0,15.0,15.0
Dingley Village,2020,3.82,,1.91,,,3.75,0.51,1.91,1.0,,1.0,,,0.0,1.0,1.0
Dodges Ferry - Lewisham,2020,3541.1,19.65,2752.51,885.23,609.81,4.51,610.92,2752.51,18.0,1.0,5.0,2.0,1.0,0.0,5.0,5.0
Donnybrook - Balingup,2020,25329.46,335.31,8648.48,7172.85,290.02,8.38,1026.44,8605.17,143.0,10.0,63.0,53.0,15.0,0.0,63.0,63.0
Donvale - Park Orchards,2020,12.66,,,,,,,,1.0,,,,,,,
Doreen - North,2020,73.18,,,,,,,,2.0,,,,,,,
Dorrigo,2020,74047.34,3.46,3092.11,58.69,3029.96,1.03,263.08,269.85,151.0,1.0,14.0,3.0,10.0,0.0,12.0,12.0
Double Bay - Darling Point,2020,877.0,,952.0,871.0,,3.34,285.0,952.0,1.0,,1.0,1.0,,0.0,1.0,1.0
Douglas Park - Appin,2020,6061.15,8.93,183.47,8.27,133.77,0.72,260.04,187.78,33.0,2.0,8.0,4.0,1.0,0.0,8.0,8.0
Dowerin,2020,993288.3,,,,,,,,280.0,,,,,,,
Drayton - Harristown,2020,230.33,,,,,,,,2.0,,,,,,,
Dromana,2020,360.96,0.51,81.2,72.7,,1.82,44.57,81.2,13.0,1.0,8.0,6.0,,0.0,8.0,8.0
Drouin,2020,23226.92,,287.41,84.59,14.35,1.1,262.32,287.41,147.0,,7.0,5.0,2.0,0.0,7.0,7.0
Dubbo - East,2020,2823.85,44.08,535.87,,4.5,0.94,568.99,535.87,14.0,2.0,3.0,,1.0,0.0,3.0,3.0
Dubbo - South,2020,10847.42,62.09,93.58,,28.11,3.54,30.93,109.41,20.0,4.0,4.0,,1.0,0.0,4.0,4.0
Dubbo - West,2020,45473.39,680.59,804.29,,123.7,5.51,146.0,804.29,18.0,3.0,3.0,,1.0,0.0,3.0,3.0
Dubbo Surrounds,2020,278889.1,3694.99,6075.59,,1298.73,2.68,2091.47,5609.14,227.0,11.0,17.0,,7.0,0.0,15.0,15.0
Dungog,2020,69247.82,,2113.28,161.05,1640.89,2.39,786.52,1878.72,187.0,,29.0,9.0,25.0,0.0,29.0,29.0
Durack,2020,1.82,,0.31,,0.31,3.26,1.82,5.93,1.0,,1.0,,1.0,0.0,1.0,1.0
Dural - Kenthurst - Wisemans Ferry,2020,1906.29,192.56,1096.39,538.69,82.17,2.51,486.65,1221.39,130.0,13.0,97.0,58.0,5.0,0.0,97.0,97.0
Eagleby,2020,83.91,,,,,,,,1.0,,,,,,,
East Devonport,2020,1210.86,,534.01,5.21,378.81,3.41,156.48,534.01,6.0,,3.0,1.0,1.0,0.0,3.0,3.0
East Pilbara,2020,6902825.13,16820.26,16820.26,,,15.24,1103.98,16820.26,17.0,1.0,1.0,,,0.0,1.0,1.0
Eatons Hill,2020,3.47,,8.09,8.09,,3.5,2.31,8.09,1.0,,1.0,1.0,,0.0,1.0,1.0
Echuca,2020,12676.5,1930.2,14328.62,66.89,2.42,1.93,7190.72,13868.26,48.0,5.0,38.0,2.0,1.0,0.0,38.0,38.0
Eden,2020,863.27,,,,,,,,1.0,,,,,,,
Edmondson Park,2020,12.22,,,,,,,,1.0,,,,,,,
Edmonton,2020,267.56,34.1,34.1,,,7.58,4.5,34.1,6.0,1.0,1.0,,,0.0,1.0,1.0
Eight Mile Plains,2020,1.16,,,,,,,,1.0,,,,,,,
Eimeo - Rural View,2020,294.86,4.92,14.25,9.33,,0.96,14.87,14.25,4.0,1.0,2.0,1.0,,0.0,2.0,2.0
Elderslie - Narellan,2020,323.38,,485.75,80.0,405.75,1.95,249.58,485.75,4.0,,2.0,1.0,2.0,0.0,2.0,2.0
Elimbah,2020,2075.67,39.6,2419.9,1999.3,291.9,6.36,381.77,2427.2,31.0,1.0,18.0,17.0,1.0,0.0,18.0,18.0
Elizabeth,2020,2.37,,9.46,,,4.0,2.37,9.46,1.0,,1.0,,,0.0,1.0,1.0
Elizabeth East,2020,109.95,9.79,9.79,,,12.0,0.82,9.79,2.0,1.0,1.0,,,0.0,1.0,1.0
Elsey,2020,4597096.73,90.0,90.0,,,2.0,45.0,90.0,26.0,1.0,1.0,,,0.0,1.0,1.0
Emerald,2020,43299.38,,2347.99,,1605.44,2.61,900.67,2347.99,17.0,,2.0,,1.0,0.0,2.0,2.0
Emerald - Cockatoo,2020,2783.09,2.68,385.13,293.73,79.62,1.86,201.24,373.73,54.0,2.0,26.0,16.0,13.0,0.0,26.0,26.0
Emu Park,2020,480.75,,,,,,,,2.0,,,,,,,
Emu Plains - Leonay,2020,98.85,,,,,,,,1.0,,,,,,,
Epping - South,2020,653.17,,,,,,,,1.0,,,,,,,
Erina - Green Point,2020,26.53,,,,,,,,2.0,,,,,,,
Esk,2020,93673.31,1163.7,2094.39,334.73,593.32,1.97,1128.27,2224.5,125.0,28.0,40.0,8.0,11.0,0.0,40.0,40.0
Esperance,2020,130818.36,,1.26,,,0.0,0.0,1.26,62.0,,1.0,,,0.0,1.0,1.0
Esperance Surrounds,2020,1434803.07,,,,,,,,336.0,,,,,,,
Ettrema - Sassafras - Budawang,2020,2180.71,,7.85,6.69,1.16,0.31,24.97,7.85,7.0,,2.0,1.0,1.0,0.0,2.0,2.0
Eumundi - Yandina,2020,14392.48,81.39,952.99,552.75,318.85,4.32,217.69,940.93,53.0,6.0,14.0,14.0,3.0,0.0,14.0,14.0
Euroa,2020,123998.71,57.53,904.77,413.53,333.91,1.94,466.37,903.77,309.0,4.0,15.0,6.0,3.0,0.0,15.0,15.0
Eurobodalla Hinterland,2020,12128.0,0.35,76.26,,75.91,2.24,34.16,76.6,37.0,1.0,5.0,,3.0,0.0,5.0,5.0
Evans Head,2020,5056.36,,30.63,30.63,,2.64,11.6,30.63,43.0,,3.0,3.0,,0.0,3.0,3.0
Exmouth,2020,9960686.32,207.6,260.5,40.4,12.5,6.66,36.4,242.3,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Eyre Peninsula,2020,491205.9,12.42,64.43,52.0,,0.61,105.64,64.43,340.0,1.0,3.0,2.0,,0.0,3.0,3.0
Far Central West,2020,24206349.63,330.29,3804.51,3474.22,,7.04,540.06,3804.51,175.0,2.0,3.0,1.0,,0.0,3.0,3.0
Far South West,2020,14427290.68,,3618.49,50.0,2470.0,3.71,975.24,3618.49,188.0,,4.0,1.0,1.0,0.0,4.0,4.0
Far West,2020,11289139.45,414.76,6223.99,1492.73,4162.59,4.43,1066.6,4723.23,219.0,3.0,9.0,1.0,6.0,0.0,9.0,9.0
Far West and Orana,2011,29521327.4,40929.7,564429.7,93644.9,234668.8,5.2,101756.1,564429.7,3986.0,2026.0,3668.0,2664.0,1316.0,0.0,445.0,3668.0
Far West and Orana,2012,29262844.9,53618.3,733363.9,126772.0,370823.2,6.5,107308.4,733363.9,3710.0,2144.0,3503.0,2670.0,705.0,0.0,336.0,3503.0
Far West and Orana,2013,27731593.32,67636.85,543289.15,139345.89,244774.27,6.9,74126.36,511280.57,3556.0,1797.0,3251.0,2011.0,634.0,0.0,383.0,383.0
Far West and Orana,2014,27472793.45,56546.5,349443.22,79069.31,191466.79,4.63,69151.2,319862.01,3619.0,2189.0,3316.0,2350.0,747.0,0.0,370.0,370.0
Far West and Orana,2015,25114758.66,55000.02,296272.45,44922.63,179173.71,7.13,37549.3,267736.59,2898.0,1633.0,2707.0,1894.0,644.0,0.0,178.0,178.0
Far West and Orana,2016,26610049.79,60696.49,390812.49,73782.66,186428.99,8.66,42068.36,364340.66,2978.0,1662.0,2837.0,1714.0,682.0,0.0,159.0,159.0
Far West and Orana,2017,25513158.35,58086.9,431736.8,63015.36,176185.15,7.08,58123.61,411564.61,2878.0,1671.0,2666.0,1576.0,591.0,0.0,224.0,224.0
Far West and Orana,2018,25695168.67,65953.96,241744.72,12209.42,82917.74,6.15,34377.11,211448.73,3212.0,1928.0,2923.0,1405.0,501.0,0.0,206.0,206.0
Far West and Orana,2019,23645414.08,29278.81,41007.71,2541.83,5459.65,4.18,6447.95,26933.99,3032.0,655.0,1180.0,511.0,213.0,0.0,78.0,78.0
Far West and Orana,2020,24612969.85,39377.66,283217.21,46821.97,167758.58,5.71,47612.54,271633.05,2845.0,93.0,201.0,26.0,93.0,0.0,200.0,200.0
Fitzroy,2011,10064690.6,19385.2,192238.0,54615.0,68867.1,4.3,37817.4,192238.0,3121.0,1508.0,2853.0,2145.0,1035.0,0.0,468.0,2853.0
Fitzroy,2012,11569338.6,16889.7,223164.6,58807.5,77605.3,5.0,34098.1,223164.6,3155.0,1587.0,2969.0,1821.0,1331.0,0.0,336.0,2969.0
Fitzroy,2013,11607356.84,25280.6,213518.29,42504.33,93969.33,4.25,38814.55,164959.83,3207.0,1512.0,2965.0,2039.0,1005.0,0.0,401.0,401.0
Fitzroy,2014,9716365.16,38167.66,257375.6,40603.35,106714.34,4.07,54392.75,221193.03,2961.0,1616.0,2804.0,1760.0,830.0,0.0,691.0,691.0
Fitzroy,2015,9187117.69,27331.17,248899.97,36054.86,106834.68,3.81,55818.58,212729.9,2153.0,1190.0,2037.0,1449.0,684.0,0.0,279.0,279.0
Flagstone (East) - Riverbend,2020,644.33,,,,,,,,1.0,,,,,,,
Flagstone (West) - New Beith,2020,5.25,,13.13,13.13,,5.0,2.63,13.13,1.0,,1.0,1.0,,0.0,1.0,1.0
Flinders,2020,7936.38,1480.6,3093.67,544.14,168.69,3.04,1005.53,3055.81,148.0,17.0,55.0,38.0,7.0,0.0,55.0,55.0
Flinders and Cape Barren Islands,2020,57670.12,,,,,,,,57.0,,,,,,,
Forbes,2020,406281.21,15669.36,26757.53,,8035.21,3.0,8454.97,25377.67,317.0,27.0,54.0,,24.0,0.0,54.0,54.0
Forestier - Tasman,2020,2570.4,,63.17,43.17,20.0,1.39,45.32,63.17,26.0,,6.0,6.0,1.0,0.0,6.0,6.0
Forrestfield - Wattle Grove,2020,11.6,248.0,248.0,,,0.0,0.0,248.0,1.0,1.0,1.0,,,0.0,1.0,1.0
Forster-Tuncurry Surrounds,2020,3202.68,,,,,,,,21.0,,,,,,,
Foster,2020,96621.6,,2818.51,657.05,1837.47,4.56,618.75,2818.51,388.0,,12.0,8.0,3.0,0.0,12.0,12.0
Fraser Rise - Plumpton,2020,1305.74,,29.03,,,0.59,48.99,29.03,6.0,,1.0,,,0.0,1.0,1.0
French Island,2020,1289.74,,,,,,,,4.0,,,,,,,
Fyshwick,2020,329.38,,,,,,,,1.0,,,,,,,
Galston - Laughtondale,2020,515.91,4.34,144.02,48.47,,2.33,60.97,141.79,30.0,2.0,17.0,10.0,,0.0,17.0,17.0
Gannawarra,2020,234463.22,2127.99,123227.59,675.9,12033.19,2.58,45710.9,118053.83,361.0,3.0,237.0,10.0,44.0,0.0,237.0,237.0
Garbutt - West End,2020,3614.71,,,,,,,,1.0,,,,,,,
Gatton,2020,5025.07,11239.95,14051.05,851.0,1463.72,4.08,3228.93,13183.75,20.0,13.0,16.0,4.0,2.0,0.0,16.0,16.0
Gawler - North,2020,10196.4,2444.34,2890.33,1.19,,4.27,675.48,2885.58,25.0,10.0,11.0,1.0,,0.0,11.0,11.0
Gawler - South,2020,3202.0,461.61,574.25,,16.29,8.72,65.84,574.25,15.0,7.0,7.0,,1.0,0.0,7.0,7.0
Gayndah - Mundubbera,2020,572235.68,5358.13,27637.16,2706.47,19096.14,5.21,5027.04,26168.25,353.0,27.0,87.0,15.0,62.0,0.0,87.0,87.0
Geebung,2020,1.5,,14.99,,,10.0,1.5,14.99,1.0,,1.0,,,0.0,1.0,1.0
Geelong,2011,256719.8,1474.9,12914.9,5574.3,1898.4,1.6,4004.6,12914.9,1098.0,153.0,940.0,595.0,119.0,0.0,172.0,940.0
Geelong,2012,254699.5,928.5,8203.2,2984.1,1210.6,1.4,3151.2,8203.2,1062.0,172.0,979.0,612.0,128.0,0.0,144.0,979.0
Geelong,2013,227713.91,2209.11,12143.82,4546.71,1352.4,2.42,3285.38,7962.96,1038.0,179.0,960.0,641.0,91.0,0.0,220.0,220.0
Geelong,2014,215528.96,2618.68,12168.05,2484.88,2271.35,2.75,2166.56,5956.31,1069.0,157.0,921.0,637.0,127.0,0.0,142.0,142.0
Geelong,2015,206919.11,920.97,8621.85,1803.55,1102.86,2.24,1852.06,4146.98,559.0,106.0,494.0,286.0,92.0,0.0,73.0,73.0
Geelong,2016,216879.08,809.09,9968.44,4915.86,2386.74,1.71,3136.79,5350.41,579.0,125.0,520.0,262.0,91.0,0.0,73.0,73.0
Geelong,2017,267061.25,1275.28,14404.74,2549.02,722.44,2.42,3827.4,9248.19,584.0,65.0,535.0,382.0,80.0,0.0,94.0,94.0
Geelong,2018,244201.08,1917.51,18979.87,2694.53,1777.6,3.72,3210.67,11928.53,549.0,103.0,479.0,328.0,112.0,0.0,77.0,77.0
Geelong,2019,300532.3,928.17,16413.23,728.05,441.18,4.4,2647.98,11643.21,679.0,28.0,236.0,132.0,31.0,0.0,64.0,64.0
Geelong,2020,112932.58499999999,134.13,6385.285,990.93,1864.22,2.03,1943.875,6336.62,323.5,3.0,34.0,37.0,11.0,0.0,34.0,34.0
Geelong West - Hamlyn Heights,2020,615.36,,,,,,,,1.0,,,,,,,
Geeveston - Dover,2020,4840.89,195.61,398.97,201.13,1.12,2.45,162.6,398.97,25.0,3.0,9.0,6.0,1.0,0.0,9.0,9.0
Gelorup - Stratham,2020,1070.82,215.16,215.16,,,15.0,14.34,215.16,6.0,1.0,1.0,,,0.0,1.0,1.0
George Town,2020,14647.87,69.37,584.79,310.43,,1.41,414.98,584.79,40.0,2.0,13.0,12.0,,0.0,13.0,13.0
Geraldton,2020,8224.41,1.95,1.95,,,0.14,13.49,1.95,4.0,1.0,1.0,,,0.0,1.0,1.0
Geraldton - East,2020,115.7,,33.03,,,2.69,12.3,33.03,8.0,,1.0,,,0.0,1.0,1.0
Geraldton - North,2020,5551.42,,13.26,13.26,,0.0,0.0,13.26,9.0,,1.0,1.0,,0.0,1.0,1.0
Gidgegannup,2020,7556.26,303.17,306.73,3.56,,14.56,21.07,306.73,18.0,2.0,3.0,2.0,,0.0,3.0,3.0
Gilbert Valley,2020,213006.34,856.36,3106.56,89.7,1117.48,1.12,2676.01,2995.96,226.0,24.0,44.0,10.0,3.0,0.0,44.0,44.0
Gilgandra,2020,455680.71,730.88,1408.24,,397.07,5.33,176.06,938.02,313.0,2.0,3.0,,1.0,0.0,3.0,3.0
Gin Gin,2020,160330.99,577.67,28438.25,1223.79,3013.8,5.48,5031.43,27567.31,133.0,7.0,53.0,18.0,16.0,0.0,53.0,53.0
Gingin - Dandaragan,2020,386872.71,31659.09,32494.32,23.03,812.21,6.49,4996.7,32450.07,275.0,78.0,81.0,5.0,8.0,0.0,81.0,81.0
Gisborne,2020,948.55,,14.85,7.96,,0.86,17.24,14.85,14.0,,2.0,1.0,,0.0,2.0,2.0
Gladstone Hinterland,2020,330349.51,695.08,1812.79,61.49,1056.21,3.55,517.32,1836.61,131.0,9.0,15.0,3.0,4.0,0.0,15.0,15.0
Gladstone Park - Westmeadows,2020,12.95,,,,,,,,1.0,,,,,,,
Glass House Mountains,2020,2721.85,4.66,1277.56,1014.61,258.28,3.12,600.55,1872.5,55.0,2.0,29.0,27.0,3.0,0.0,29.0,29.0
Glen Innes,2020,336429.92,,1058.0,,28.0,1.38,767.0,1058.0,315.0,,2.0,,1.0,0.0,2.0,2.0
Glen Iris - East,2020,312.61,,,,,,,,1.0,,,,,,,
Glendale - Cardiff - Hillsborough,2020,1.19,,,,,,,,1.0,,,,,,,
Glenelg (Vic.),2020,308428.06,12751.69,13022.13,57.12,,2.82,4594.37,12944.08,613.0,45.0,51.0,5.0,,0.0,51.0,51.0
Glenlee - Rockyview,2020,6336.86,32.26,1592.16,200.02,852.2,3.67,407.68,1495.64,18.0,1.0,8.0,2.0,7.0,0.0,8.0,8.0
Glenroy - East,2020,2.78,,,,,,,,1.0,,,,,,,
Gloucester,2020,80458.93,,586.93,36.97,547.47,1.08,553.02,597.11,139.0,,20.0,3.0,17.0,0.0,20.0,20.0
