,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Adelaide-Central and Hills,2011,56199.1,11732.5,20156.3,7412.8,647.2,3.0,6155.8,20156.3,952.0,500.0,881.0,567.0,71.0,0.0,600.0,881.0
Adelaide-North,2011,33867.8,7216.8,11682.5,236.0,1.4,4.1,2712.2,11682.5,509.0,270.0,420.0,65.0,10.0,0.0,338.0,420.0
Adelaide-South,2011,16529.9,4194.6,6083.2,268.6,14.5,0.9,6788.9,6083.2,656.0,425.0,628.0,63.0,9.0,0.0,569.0,628.0
Adelaide-West,2011,5811.6,,32.9,,,1.0,5.3,32.9,14.0,,14.0,,,0.0,5.0,14.0
Agnes Water - Miriam Vale,2020,149673.55,26.21,753.37,678.14,16.95,2.74,274.14,750.84,124.0,1.0,11.0,7.0,1.0,0.0,11.0,11.0
Airlie - Whitsundays,2020,243.4,,,,,,,,2.0,,,,,,,
Albany,2020,5492.13,7.04,7.04,,,4.31,1.63,7.04,6.0,1.0,1.0,,,0.0,1.0,1.0
Albany Creek,2020,5.06,,,,,,,,1.0,,,,,,,
Albany Surrounds,2020,207744.56,362.51,491.76,112.03,17.21,1.58,321.17,508.96,233.0,5.0,18.0,16.0,3.0,0.0,18.0,18.0
Albion Park - Macquarie Pass,2020,2536.55,1.2,1.2,,,,,,9.0,1.0,1.0,,,,,
Albion Park Rail,2020,140.88,,,,,,,,1.0,,,,,,,
Albury - East,2020,1540.93,,,,,,,,3.0,,,,,,,
Albury - South,2020,3580.73,78.81,236.44,,157.63,3.0,78.81,236.44,5.0,1.0,1.0,,1.0,0.0,1.0,1.0
Albury Surrounds,2020,409031.14,978.04,1213.17,,,2.31,522.3,1208.17,512.0,8.0,9.0,,,0.0,9.0,9.0
Aldgate - Stirling,2020,5752.28,97.49,97.49,,,1.75,51.18,89.67,14.0,9.0,9.0,,,0.0,9.0,9.0
Aldinga,2020,423.41,202.63,487.74,,,1.64,296.95,487.74,11.0,5.0,10.0,,,0.0,10.0,10.0
Alexandra,2020,46703.42,177.07,1408.07,407.9,705.34,2.6,489.45,1272.35,136.0,7.0,14.0,6.0,5.0,0.0,14.0,14.0
Alfredton,2020,1294.51,,,,,,,,11.0,,,,,,,
Alkimos - Eglinton,2020,61.03,315.17,315.17,,,5.08,62.03,315.17,2.0,2.0,2.0,,,0.0,2.0,2.0
Alligator,2020,737100.88,1965.36,3808.85,1190.81,650.35,5.64,675.72,3807.78,65.0,26.0,29.0,3.0,1.0,0.0,29.0,29.0
Alps - West,2020,4605.18,,216.41,,205.13,4.24,53.32,225.87,9.0,,2.0,,2.0,0.0,2.0,2.0
Anna Bay,2020,91.59,,,,,,,,2.0,,,,,,,
Ararat,2020,10941.52,,24.3,,,0.95,25.68,24.3,17.0,,1.0,,,0.0,1.0,1.0
Ararat Surrounds,2020,289359.11,5.54,861.1,21.25,4.62,1.35,635.81,858.79,321.0,1.0,15.0,7.0,1.0,0.0,15.0,15.0
Armadale - Wungong - Brookdale,2020,10.9,128.17,154.69,,26.52,28.99,5.34,154.69,3.0,1.0,2.0,,1.0,0.0,2.0,2.0
Armidale,2020,42527.65,,391.91,,,3.1,126.31,391.91,60.0,,1.0,,,0.0,1.0,1.0
Armidale Surrounds - North,2020,361494.77,31.0,501.62,281.62,,7.08,70.81,501.62,336.0,1.0,3.0,3.0,,0.0,3.0,3.0
Armidale Surrounds - South,2020,189386.09,41.92,97.61,37.54,18.15,0.9,110.2,98.89,185.0,3.0,4.0,2.0,1.0,0.0,4.0,4.0
Ashburton (WA),2020,6824739.09,304.3,19008.27,59.2,18.4,9.03,2102.1,18981.57,23.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0
Ashfield - Kepnock,2020,626.0,113.06,113.06,,,2.97,38.08,113.06,1.0,1.0,1.0,,,0.0,1.0,1.0
Athelstone,2020,17.12,,,,,,,,1.0,,,,,,,
Atherton,2020,34739.52,5776.99,24238.15,776.11,1895.36,4.16,5755.85,23972.25,95.0,37.0,71.0,6.0,18.0,0.0,71.0,71.0
Augusta,2020,34463.6,680.57,5604.56,1752.19,96.95,2.69,2041.17,5494.77,177.0,12.0,60.0,48.0,2.0,0.0,60.0,60.0
Austins Ferry - Granton,2020,62.52,,20.46,,,1.29,15.92,20.46,2.0,,2.0,,,0.0,2.0,2.0
